path,hasLower,hasNums,hasBrackets
fonts/Antique Book Cover.otf,True,True,False
fonts/AntiqueNo14.ttf,True,True,True
fonts/CaslonAntique-Bold.ttf,True,True,True
fonts/CaslonAntique-BoldItalic.ttf,True,True,True
fonts/CaslonAntique-Italic.ttf,True,True,True
fonts/CaslonAntique.ttf,True,True,True
fonts/DSRomantiques.ttf,False,True,False
fonts/Macedonia Old.ttf,False,True,False
fonts/MayflowerAntique.ttf,True,True,True
fonts/Old Cave.otf,False,False,False
fonts/Old-fantasyupper-case.ttf,False,True,True
fonts/OldEnglishFive.ttf,True,True,True
fonts/OldGateLaneNF.otf,True,True,True
fonts/OldGateLaneNF.ttf,True,True,True
fonts/OldLondon.ttf,True,True,True
fonts/OldLondonAlternate.ttf,True,True,True
fonts/OldStandard-Bold.ttf,True,True,True
fonts/OldStandard-Italic.ttf,True,True,True
fonts/OldStandard-Regular.ttf,True,True,True
fonts/OldTown.ttf,True,True,True
fonts/OldaniaADFStd-Bold.otf,True,True,True
fonts/OldaniaADFStd-BoldItalic.otf,True,True,True
fonts/OldaniaADFStd-Italic.otf,True,True,True
fonts/OldaniaADFStd-Regular.otf,True,True,True
fonts/OldeEnglish.ttf,True,True,True
fonts/Oldenburg-Regular.ttf,True,True,True
fonts/Oldways Regular.otf,False,True,True
fonts/Oldways italic.otf,False,True,True
fonts/PackardAntique-Bold.ttf,True,True,True
fonts/PackardAntique.ttf,True,True,True
fonts/PowellAntique-Bold.ttf,True,True,True
fonts/PowellAntique.ttf,True,True,True
fonts/RomanAntique-Italic.ttf,True,True,True
fonts/RomanAntique.ttf,True,True,True
fonts/Romantiques.ttf,False,True,False
fonts/Russian Land Old.ttf,False,True,False
fonts/TheanoOldStyle-Regular.ttf,True,True,True
fonts/Times Old Attic.TTF,True,True,True
fonts/airmole antique.ttf,True,True,False
fonts/effloresce antique.ttf,True,True,True
fonts/rm_almanack_old.ttf,True,True,True
fonts/rm_typerighter_old.ttf,True,True,True
